Kirchenpaueria halecioides
Antithamnionella spirographidis
Karenia papilionacea
Anadara kagoshimensis
Goniadella gracilis
Antithamnionella elegans
Tubificoides heterochaetus
Limnodrilus cervix
Caulerpa chemnitzia
Perna viridis
Steromphala adriatica
Trieres mobiliensis
Craspedacusta sowerbii
Hypania invalida
Eriocheir sinensis
Mytilaster minimus
Heniochus intermedius
Pagurus longicarpus
Diadumene leucolena
Impatiens glandulifera
Acipenser baeri
Paracerceis sculpta
Aoroides semicurvatus
Palaemon elegans
Crystallogobius linearis
Chaetoceros rostratus
Trinectes maculatus
Sisyrinchium montanum
Callinectes pallidus
Anomia ephippium
Crassostrea gigas
Caridina gracilirostris
Biflustra grandicella
Symplegma rubra
Dictyota cyanoloma
Elodea nuttallii
Herdmania pallida
Bacteriastrum hyalinum
Streblospio benedicti
Nymphaea marliacea
Polyopes lancifolius
Micropterus dolomieu
Ischyrocerus commensalis
Dinophysis tripos
Thelepus japonicus
Heleobia australis
Emys orbicularis
Ariomma indica
Lemna aequinoctialis
Abudefduf hoefleri
Balanus balanus
Faxonius limosus
Elodea callitrichoides
Paraleucilla magna
Austrominius modestus
Aoroides curvipes
Paramysis (Serrapalpisis) lacustris
Juxtacribrilina mutabilis
Incisocalliope aestuarius
Tharyx killariensis
Bugula stolonifera
Victorella pavida
Oculina patagonica
Gibbula ardens
Tripos arietinus
Antithamnion hubbsii
Perophora viridis
Ischadium recurvum
Barentsia ramosa
Haliotis tuberculata
Parablennius goreensis
Iberis amara
Calyptraea chinensis
Poecilopsetta beanii
Panopeus occidentalis
Anser canagicus
Anadara transversa
Branchiomma luctuosum
Ectopleura crocea
Zeuxo holdichi
Gobiosoma bosc
Polysiphonia atlantica
Saccostrea cuccullata
Desmarestia viridis
Spartina patens
Chilomycterus reticulatus
Odontella sinensis
Ensis leei
Styela clava
Microcosmus squamiger
Polydora triglanda
Grallatoria reptans
Amphibalanus variegatus
Proasellus coxalis
Procambarus virginalis
Scruparia ambigua
Egeria densa
Ostrea stentina
Chaetoceros lorenzianus
Boccardia proboscidea
Penicillus capitatus
Tenellia adspersa
Cygnus atratus
Bonamia ostreae
Acrochaetium catenulatum
Sibirionetta formosa
Thalassiosira punctigera
Branta hutchinsii
Ascidia interrupta
Megabalanus coccopoma
Gracilariopsis chorda
Theora lubrica
Faxonius rusticus
Mareca sibilatrix
Clytia gregaria
Ruditapes decussatus
Rangia cuneata
Melita nitida
Spirodela punctata
Naineris setosa
Ondatra zibethicus
Anteaeolidiella lurana
Penaeus japonicus
Procambarus acutus
Polycerella emertoni
Hypnea musciformis
Pycnoclavella aurilucens
Polydora websteri
Vanneaugobius canariensis
Antithamnion diminuatum
Acanthurus coeruleus
Tubastraea tagusensis
Eudendrium carneum
Monocorophium acherusicum
Pseudotetraspora marina
Pilumnus hirtellus
Radicilingua mediterranea
Parablennius zvonimiri
Tubificoides pseudogaster
Pseudochattonella farcimen
Ethmodiscus punctiger
Mytilicola orientalis
Marenzelleria viridis
Tadorna variegata
Botryllus schlosseri
Aphanomyces astaci
Botryocladia wrightii
Hydroides ezoensis
Colpomenia sinuosa
Marteilia refringens
Alitta virens
Euchone limnicola
Artemia franciscana
Watersipora cucullata
Moerisia inkermanica
Polydora onagawaensis
Ecteinascidia turbinata
Ostracoblabe implexa
Apalone spinifera
Acipenser ruthenus
Brachidontes exustus
Cantherhines pullus
Caulerpa cylindracea
Symphyocladiella dendroidea
Teredo bartschi
Vallicula multiformis
Steromphala albida
Oryctolagus cuniculus
Epinephelus fasciatus
Perophora japonica
Limnomysis benedeni
Dreissena bugensis
Caulerpa webbiana
Papenfussiella kuromo
Perccottus glenii
Prorocentrum lima
Schizoporella japonica
Anas flavirostris
Melanothamnus flavimarinus
Codium arabicum
Ficopomatus enigmaticus
Chilomycterus mauretanicus
Amphinome rostrata
Prorocentrum cordatum
Microprosthema inornatum
Sebastiscus marmoratus
Eriocheir japonica
Echinogammarus trichiatus
Antiopella cristata
Anas bahamensis
Gymnophycus hapsiphorus
Agardhiella subulata
Tritia corniculum
Mizuhopecten yessoensis
Phorcus richardi
Crepidula onyx
Macrochelys temminckii
Agarophyton vermiculophyllum
Acanthurus bahianus
Caulerpa ashmeadii
Fundulus heteroclitus
Melanothamnus sphaerocarpus
Limulus polyphemus
Watersipora subtorquata
Odontodactylus scyllarus
Peridinium quadridentatum
Antithamnion densum
Sinanodonta woodiana
Pseudobacciger harengulae
Ampithoe valida
Polyandrocarpa zorritensis
Tridentiger barbatus
Ctenopharyngodon idella
Ferrissia californica
Dasya baillouviana
Eocuma dimorphum
Telmatogeton japonicus
Asterocarpa humilis
Mnemiopsis leidyi
Grateloupia imbricata
Tridentata marginata
Paratenuisentis ambiguus
Melanothamnus japonicus
Spartina anglica
Laurencia caduciramulosa
Acrotrichis henrici
Symplegma reptans
Chaetopleura angulata
Threskiornis aethiopicus
Nymphaea thiona
Bivetiella cancellata
Prokelisia marginata
Ulva rhacodes
Truncatella subcylindrica
Branchiomma bombyx
Corbicula fluminalis
Nymphoides peltata
Cymadusa filosa
Dicentrarchus labrax
Eurybia sibirica
Cabomba caroliniana
Lophodytes cucullatus
Synidotea laticauda
Nippoleucon hinumensis
Coregonus peled
Fistularia petimba
Ligia (Megaligia) exotica
Gmelinoides fasciatus
Callyspongia siphonella
Hucho hucho
Clytia linearis
Ceramium atrorubescens
Orontium aquaticum
Paracaprella pusilla
Gambusia holbrooki
Anas capensis
Canthidermis sufflamen
Botrylloides violaceus
Myriophyllum aquaticum
Thecadinium yashimaense
Graptemys pseudogeographica
Phyllorhiza punctata
Gelidium microdonticum
Lumbrinerides crassicephala
Chelicorophium robustum
Amynthas agrestis
Centroceras clavulatum
Ameiurus melas
Bedeva paivae
Celtodoryx ciocalyptoides
Aglaothamnion feldmanniae
Aix galericulata
Teredo navalis
Hypereteone heteropoda
Pseudamphistomum truncatum
Hydroclathrus tilesii
Distaplia corolla
Neogobius fluviatilis
Morone americana
Amathia verticillata
Dipterosiphonia dendritica
Carijoa riisei
Muraena melanotis
Gambusia affinis
Phaeocystis pouchetii
Cynoscion regalis
Oncorhynchus tshawytscha
Cephalothrix simula
Molgula manhattensis
Gracilaria vermiculophylla
Lovenella assimilis
Pseudodactylogyrus anguillae
Aurelia coerulea
Paramysis (Mesomysis) intermedia
Latopilumnus malardi
Lithognathus mormyrus
Corambe obscura
Myriophyllum heterophyllum
Neopyropia leucosticta
Laonome xeprovala
Chattonella marina var. ovata
