Cryptopsaras couesii
Isistius brasiliensis
Carassius carassius
Echinorhinus brucus
Oncorhynchus keta
Liparis liparis
Osmerus eperlanus
Chimaera monstrosa
Pseudocarcharias kamoharai
Vimba vimba
Cottus gobio
Raniceps raninus
Ictalurus punctatus
Clupea harengus
Gadus finnmarchicus
Romanogobio belingi
Lycodes polaris
Atherina boyeri
Cephalopholis nigri
Proterorhinus semilunaris
Maurolicus muelleri
Gymnocephalus cernua
Hippocampus hippocampus
Myoxocephalus quadricornis
Aspitrigla cuculus
Lophius vaillanti
Hucho hucho
Mitsukurina owstoni
Glyptocephalus cynoglossus
Culaea inconstans
Neogobius pallasi
Benthophilus nudus
Deania calcea
Lycodes reticulatus
Gobius niger
Micropogonias undulatus
Morone americana
Pomatoschistus minutus
Melanostomias macrophotus
Pomatoschistus microps
Acipenser stellatus
Cobitis taenia
Phoxinus phoxinus
Epinephelus marginatus
Bathymicrops multispinis
Galeus melastomus
Astronesthes similus
Pelecus cultratus
Paramisgurnus dabryanus
Dipturus nidarosiensis
Astronesthes neopogon
Benthophilus durrelli
Lampanyctus macdonaldi
Cephalopholis taeniops
Callionymus lyra
Anisarchus medius
Cyclothone alba
Deania calceus
Chauliodus sloani
Amblyraja hyperborea
Dalatias licha
Salvelinus salvelinoinsularis
Pylodictis olivaris
Liza aurata
Macroparalepis nigra
Macrourus berglax
Leucoraja circularis
Sander lucioperca
Trachipterus arcticus
Rajella lintea
Dicentrarchus labrax
Coregonus pidschian
Nerophis lumbriciformis
Monognathus bertini
Scophthalmus maximus
Gadiculus thori
Molva molva
Amblyraja radiata
Merluccius merluccius
Coregonus albula
Ameiurus nebulosus
Lesueurigobius friesii
Triglops pingelii
Syngnathus acus
Ponticola eurycephalus
Raja clavata
Dipturus batis
Luvarus imperialis
Coregonus peled
Lampadena atlantica
Misgurnus nikolskyi
Pagellus bogaraveo
Oxynotus centrina
Alepisaurus ferox
Photonectes leucospilus
Artediellus atlanticus
Gambusia holbrooki
Engraulis encrasicolus
Hyperoplus immaculatus
Acipenser sturio
Laemargus muricatus
Piaractus brachypomus
Abramis brama
Benthosema glaciale
Lepomis macrochirus
Apristurus microps
Ilyophis brunneus
Eustomias macronema
Benthodesmus elongatus
Auxis thazard
Scopelogadus beanii
Lycodes seminudus
Coregonus pallasii
Gaidropsarus vulgaris
Bythites fuscus
Gymnocephalus cernuus
Mustelus mustelus
Astronotus ocellatus
Centrophorus uyato
Epinephelus goreensis
Icelus bicornis
Eustomias achirus
Callionymus maculatus
Taurulus bubalis
Grammatostomias ovatus
Sarpa salpa
Liparis fabricii
Agonus cataphractus
Hippocampus guttulatus
Arctozenus risso
Brotulotaenia nigra
Misgurnus mohoity
Macroramphosus scolopax
Garra rufa
Cyclothone braueri
Gasterosteus aculeatus
Isurus oxyrinchus
Boops boops
Balistes capriscus
Ophidion saldanhai
Myxine glutinosa
Bathophilus longipes
Oxynotus paradoxus
Bellottia apoda
Liza ramada
Cottunculus subspinosus
Barbatula barbatula
Micromesistius poutassou
Scophthalmus rhombus
Gobio gobio
Acipenser ruthenus
Lumpenus lampretaeformis
Eutrigla gurnardus
Cepola macrophthalma
Brotulotaenia crassa
Beryx decadactylus
Scopelosaurus mauli
Stomias boa
Pimephales promelas
Lycodes squamiventer
Anguilla rostrata
Lota lota
Eustomias binghami
Gaidropsarus argentatus
Sphoeroides pachygaster
Enchelyopus cimbrius
Eustomias kikimora
Alburnus alburnus
Nemichthys scolopaceus
Glaucostegus cemiculus
Trigloporus lastoviza
Rhodeus sericeus
Acipenser oxyrinchus
Scartella cristata
Melanostomias melanopogon
Lycodes eudipleurostictus
Coregonus nilssoni
Careproctus latiosus
Eustomias filifer
Epigonus telescopus
Micropterus salmoides
Salvelinus fontinalis
Cyclothone pseudopallida
Nemadactylus monodactylus
Argyrosomus regius
Lampetra fluviatilis
Ponticola kessleri
Careproctus derjugini
Salvelinus lepechini
Pomoxis annularis
Auxis rochei
Howella simplex
Scomber japonicus
Prionace glauca
Oncorhynchus clarkii
Umbra pygmaea
Ciliata septentrionalis
Lebetus guilleti
Parachondrostoma toxostoma
Dasyatis pastinaca
Coregonus muksun
Rhodichthys melanocephalus
Acipenser baerii
Diplodus sargus
Gymnelus andersoni
Platichthys solemdali
Lycenchelys platyrhina
Mycteroperca rubra
Taractichthys longipinnis
Sebastes viviparus
Centrolabrus exoletus
Notacanthus chemnitzii
Cyclopterus lumpus
Scyliorhinus stellaris
Careproctus reinhardti
Pollachius virens
Astronesthes gudrunae
Molva dypterygia
Rajella fyllae
Thunnus thynnus
Scyliorhinus canicula
Astronesthes barbatus
Neogobius fluviatilis
Anarrhichthys ocellatus
Salvelinus umbla
Coryphaenoides rupestris
Hyporthodus haifensis
Caranx hippos
Xenodermichthys copei
Careproctus macrophthalmus
Mallotus villosus
Syngnathus rostellatus
Leucoraja naevus
Epinephelus aeneus
Salmo salar
Dichotomyctere fluviatilis
Acipenser gueldenstaedtii
Aristostomias grimaldii
Careproctus dubius
Petromyzon marinus
Saccopharynx thalassa
Grammatostomias circularis
Trachinus draco
Micrenophrys lilljeborgii
Liopsetta glacialis
Eustomias brevibarbatus
Aphia minuta
Thymallus thymallus
Oblada melanura
Lophius budegassa
Misgurnus fossilis
Lampris guttatus
Ctenolabrus rupestris
Nansenia groenlandica
Coryda alauda
Acantholabrus palloni
Meteoria longidorsalis
Rhodichthys regina
Planiliza haematocheilus
Anarhichas denticulatus
Zeugopterus norvegicus
Katsuwonus pelamis
Sphyraena sphyraena
Cyclothone pseudoacclinidens
Chlorophthalmus atlanticus
Eustomias cryptobulbus
Lumpenus fabricii
Careproctus knipowitschi
Torpedo marmorata
Eustomias parri
Salvelinus namaycush
Bathyraja spinicauda
Sciadonus pedicellaris
Carassius gibelio
Odontaspis noronhai
Epinephelus itajara
Dipturus intermedius
Somniosus microcephalus
Helostoma temminkii
Bovichtus diacanthus
Labrus merula
Melamphaes manifestus
Proterorhinus nasalis
Sebastes schlegelii
Squatina squatina
Pollachius pollachius
Capros aper
Scardinius erythrophthalmus
Oncorhynchus rhodurus
Carassius auratus
Liparis montagui
Epinephelus caninus
Paraliparis violaceus
Hippoglossus hippoglossus
Chirostomias pliopterus
Saurida parri
Lycenchelys muraena
Coregonus nasus
Epinephelus costae
Careproctus telescopus
Lophius piscatorius
Huso huso
Neochelon falcipinnis
Chelidonichthys lucerna
Astronesthes zharovi
Babka gymnotrachelus
Protomyctophum thompsoni
Centrophorus squamosus
Morone saxatilis
Gymnelus hemifasciatus
Eustomias schmidti
Discoverichthys praecox
Leptostomias haplocaulus
Chelidonichthys cuculus
Chelon ramada
Paralepis coregonoides
Sebastes mentella
Ameiurus melas
Leptagonus decagonus
Coregonus oxyrinchus
Sebastes capensis
Trachurus capensis
Helicolenus dactylopterus
Squatina aculeata
Misgurnus nahangensis
Histrio histrio
Ciliata mustela
Lethenteron camtschaticum
Leptostomias bilobatus
Squalius cephalus
Epinephelus adscensionis
Argyropelecus olfersii
Trinectes maculatus
Oreochromis niloticus
Trachinotus ovatus
Carcharodon carcharias
Leucaspius delineatus
Neocyema erythrosoma
Sardinella rouxi
Symphodus melops
Tinca tinca
Cetichthys indagator
Argentina silus
Cobitis bilineata
Platichthys flesus
Syngnathus typhle
Planiliza haematocheila
Diastobranchus capensis
Mobula birostris
Eustomias borealis
Stomias ferox
Fundulus heteroclitus
Buglossidium luteum
Atherina presbyter
Monognathus boehlkei
